EAN;DESCRIPCION;UM BULTO
70330371002;MAQUINA DESECH NATURALS SOLEIL 3 BIC X2UNI        ;3
70330717510;MAQ DE AFEITAR COMFORT3 ACTION NORMAL BIC X 2 UNI ;36
70330717565;MAQUINA COMFORT 3 ACTION SENSITIVE BIC X 1 UNI    ;288
70330721838;MAQUINA DESECHABLE COMFORT 2 BIC 5X4 UNI      ;48
70330728547;MAQUINA DESECH COMFORT 2 WOMEN BIC 5X4 UNI    ;48
70330731745;MAQUINA DE AFEITAR SOLEIL RYV FEM BIC X 2 UNI     ;24
70330731783;MAQUINA DE AFEITAR SOLEIL COLOR FEM BIC X 4 UNI   ;3
70330732339;MAQUINA DESECHABLE MUJER LADY SHAVER BIC X 5 UNI  ;48
70330734395;MAQ AFEITAR DESECHAB COMFORT 3 ADVANCE BIC X 4 UNI;36
70330734401;MAQUINA AFEITAR ACTION SENSIB COMFORT3 BIC X 4 UNI;36
70330745889;MAQ DE AFEITAR FLEX 2 BIC X 5 UNI                 ;24
70501051054;TOALLITAS DESMAQUILLANTES NEUTROGENA X 25 UNI     ;6
70942001083;CEPILLO DENTAL AVENGERS GUM X 2 UNI               ;6
70942001601;CEPILLO INTERDENTAL SOFT PICKS ADVANCED GUM X36UNI;12
70942001953;HILO DENTAL FLOSSERS C MANGO ORIGINAL GUM X 40 UNI;12
70942002110;CEPILLO DENTAL SUAVE 211 GUM X 1 UNI              ;12
70942002332;CEPILLO SONIC POWER DEEP CLEAN GUM X 1 UNI        ;12
70942003117;CEPILLO DENTAL CLASSIC 311 SUAVE GUM X1UNI        ;12
70942003551;CEPILLO DENTAL TROLLS GUM X 2 UNI                 ;6
70942003803;CREMA DENTAL TROLLS GUM X 100 GRM                 ;12
70942004114;CEPILLO DENTAL CLASSIC 411 SUAVE GUM X 1UNI       ;12
70942005500;CEPILLO MULTI CLEAN GUM X 4 UNI                   ;6
70942007771;CEPILLO DENTAL INFANTIL BOB ESPONJA GUM X 2 UNI   ;6
70942122863;CEPILLOS DENTALES DE HULE SOFT PICKS G.U.M X 40UNI;12
70942302357;CAPUCHONES PROTECTORES P CEPILLO DENTAL GUM X 4UNI;12
70942302401;HILO DENTAL EXPANDING FLOSS GUM X 30MTS           ;12
70942303194;HILO DENTAL GUM X 129 MTS                         ;12
70942304344;CEPILLO INTERDENTAL SOFT PICKS GUM X 15 UNI       ;12
70942306805;FLOSSERS HILO DENTAL MENTA GUM X 20 UNI           ;3
76625256726;DULCE ALMEND COLONIAL FELICES LAS VACAS X 200 GRM ;3
78895120509;SALSA TERIYAKI LEE KUM KEE FRASCO X 250 GRS       ;12
